,week,lat,lng,Vol
0,2021-01-04T00:00:00,40.68608738665355,-73.9826637199684,192995.0
1,2021-01-04T00:00:00,40.74549523630806,-73.78888876287809,10006.0
2,2021-01-04T00:00:00,40.75559442732079,-73.87299985758027,18093.0
3,2021-01-04T00:00:00,40.5745030697535,-73.97158572861166,18216.663900414937
4,2021-01-04T00:00:00,40.57711115666558,-73.96834891980473,18340.327800829877
5,2021-01-04T00:00:00,40.75637698621022,-73.87756861533784,18463.991701244813
6,2021-01-04T00:00:00,40.748457239532584,-73.97002954148137,18587.65560165975
7,2021-01-04T00:00:00,40.780735307499995,-73.9496592953529,18711.31950207469
8,2021-01-04T00:00:00,40.58141844443479,-73.98596471993426,18834.983402489626
9,2021-01-04T00:00:00,40.58149330493987,-73.98575325299403,18958.647302904563
10,2021-01-04T00:00:00,40.75700454480997,-73.8387192595021,19082.311203319503
11,2021-01-04T00:00:00,40.88625610995132,-73.8945956517144,19205.97510373444
12,2021-01-04T00:00:00,40.88779075105675,-73.82375151286118,19329.639004149376
13,2021-01-04T00:00:00,40.88785520088804,-73.82386547393689,19453.302904564316
14,2021-01-04T00:00:00,40.56662895224524,-74.16958871559152,19576.966804979253
15,2021-01-04T00:00:00,40.5666901346569,-74.16975467465693,19700.63070539419
16,2021-01-04T00:00:00,40.76326948622327,-73.9454713704049,19824.29460580913
17,2021-01-04T00:00:00,40.61001710472249,-73.74479488741413,19947.958506224066
18,2021-01-04T00:00:00,40.61015744785029,-73.75355335512391,20071.622406639006
19,2021-01-04T00:00:00,40.635263026609294,-73.73999214405347,20195.286307053942
20,2021-01-04T00:00:00,40.85016095792172,-73.93393973463989,20318.95020746888
21,2021-01-04T00:00:00,40.90270595220888,-73.86803396805895,20442.61410788382
22,2021-01-04T00:00:00,40.73928242629702,-73.95252138623043,20566.278008298756
23,2021-01-04T00:00:00,40.739303883309205,-73.95265575738833,20689.941908713692
24,2021-01-04T00:00:00,40.75231929322872,-73.70182374586793,20813.605809128632
25,2021-01-04T00:00:00,40.7524120720679,-73.7019101554374,20937.26970954357
26,2021-01-04T00:00:00,40.67014053419233,-73.8574873781593,21060.933609958505
27,2021-01-04T00:00:00,40.67448181347162,-73.86010222310482,21184.597510373445
28,2021-01-04T00:00:00,40.7042004723867,-73.91340521239994,21308.261410788382
29,2021-01-04T00:00:00,40.70621113477052,-73.91729248835165,21431.92531120332
30,2021-01-04T00:00:00,40.642435900670016,-73.8348823551361,21555.58921161826
31,2021-01-04T00:00:00,40.64251350892648,-73.83475767091362,21679.253112033195
32,2021-01-04T00:00:00,40.68300801230478,-73.86667089816859,21802.91701244813
33,2021-01-04T00:00:00,40.72783934094262,-73.70786291382674,21926.58091286307
34,2021-01-04T00:00:00,40.67414711754231,-73.98877950547576,22050.24481327801
35,2021-01-04T00:00:00,40.67615599524378,-73.99023761382318,22173.908713692945
36,2021-01-04T00:00:00,40.678194731484666,-73.9891734249194,22297.572614107885
37,2021-01-04T00:00:00,40.67948794569783,-73.98838072008999,22421.23651452282
38,2021-01-04T00:00:00,40.6834523116652,-73.89574052957632,22544.900414937758
39,2021-01-04T00:00:00,40.68346859585835,-73.8958607540612,22668.564315352698
40,2021-01-04T00:00:00,40.76448080071595,-73.7212378334072,22792.228215767635
41,2021-01-04T00:00:00,40.76459833810302,-73.72132477161017,22915.89211618257
42,2021-01-04T00:00:00,40.69231010068712,-73.90289396323003,23039.55601659751
43,2021-01-04T00:00:00,40.69251771026114,-73.90268748362904,23163.219917012448
44,2021-01-04T00:00:00,40.71074436909563,-73.72718895365915,23286.883817427384
45,2021-01-04T00:00:00,40.72515581740442,-73.81608735027426,23410.547717842324
46,2021-01-04T00:00:00,40.72532908379425,-73.81594901860548,23534.21161825726
47,2021-01-04T00:00:00,40.72536748932798,-73.81619602180136,23657.875518672197
48,2021-01-04T00:00:00,40.76262445702542,-73.8366623306069,23781.539419087138
49,2021-01-04T00:00:00,40.76278233747352,-73.83672544348083,23905.203319502074
50,2021-01-04T00:00:00,40.828275542681446,-73.88373128212498,24028.86721991701
51,2021-01-04T00:00:00,40.88483476261892,-73.8302645964043,24152.53112033195
52,2021-01-04T00:00:00,40.884925440457984,-73.83045519524156,24276.195020746887
53,2021-01-04T00:00:00,40.88500659410685,-73.8302463762753,24399.858921161827
54,2021-01-04T00:00:00,40.88514360702061,-73.83032014813278,24523.522821576764
55,2021-01-04T00:00:00,40.65475758538235,-73.86033479975688,24647.1867219917
56,2021-01-04T00:00:00,40.655047924893026,-73.86011337288707,24770.85062240664
57,2021-01-04T00:00:00,40.67156783487725,-73.9987410334215,24894.514522821577
58,2021-01-04T00:00:00,40.686135431747005,-73.72609611778323,25018.178423236513
59,2021-01-04T00:00:00,40.76760677237661,-73.83743613690496,25141.842323651454
60,2021-01-04T00:00:00,40.76971644531165,-73.83618175993048,25265.50622406639
61,2021-01-04T00:00:00,40.845809934348885,-73.93537777731653,25389.170124481327
62,2021-01-04T00:00:00,40.8458473393462,-73.93254725333263,25512.834024896267
63,2021-01-04T00:00:00,40.84644800074147,-73.93496316690899,25636.497925311203
64,2021-01-04T00:00:00,40.636154199406526,-73.95349068876486,25760.16182572614
65,2021-01-04T00:00:00,40.63819780166467,-73.95388463929123,25883.82572614108
66,2021-01-04T00:00:00,40.6653454796157,-73.7288500189075,26007.489626556016
67,2021-01-04T00:00:00,40.66553034163259,-73.72879918110662,26131.153526970953
68,2021-01-04T00:00:00,40.67182687397347,-73.99832563843762,26254.817427385893
